Año,Mes,Departamento,Ciudad,País de Residencia,Extranjeros no Residentes
2024,4,Norte de Santander,Pamplona,Marruecos,1
2024,4,Antioquia,La Ceja,México,4
2024,4,Cundinamarca,Guasca,Canadá,1
2024,4,Valle del Cauca,Buenaventura,India,132
2024,4,Valle del Cauca,Buenaventura,Portugal,1
2024,4,Cundinamarca,Sibaté,México,45
2024,4,Huila,Neiva,Brasil,3
2024,4,Antioquia,Armenia,Estados Unidos,11
2024,4,Cundinamarca,Cajicá,Italia,6
2024,4,Risaralda,Pereira,Paraguay,4
2024,4,Putumayo,San Miguel,Perú,1
2024,4,Antioquia,Medellín,Bahréin,7
2024,4,Antioquia,Olaya,Estados Unidos,1
2024,4,Nariño,San Andres de Tumaco,Chile,1
2024,4,Antioquia,La Ceja,Panamá,5
2024,4,Caldas,Manizales,Argentina,15
2024,4,Antioquia,Retiro,Canadá,4
2024,4,Bogota D.C.,"Bogotá, D.C.",Irán,10
2024,4,Antioquia,Girardota,Georgia,1
2024,4,Atlántico,Ponedera,Países Bajos,5
2024,4,Valle del Cauca,Cali,Suecia,13
2024,4,San Andres y Providencia,Providencia,Reino Unido,3
2024,4,Santander,Aguada,Francia,1
2024,4,Caldas,Aranzazu,Ecuador,1
2024,4,Valle del Cauca,Caicedonia,Panamá,1
2024,4,Cundinamarca,Soacha,Italia,1
2024,4,Huila,Acevedo,Estados Unidos,1
2024,4,Norte de Santander,Cúcuta,Venezuela,1353
2024,4,Antioquia,Apartadó,Suiza,3
2024,4,Antioquia,Abejorral,Portugal,2
2024,4,Caldas,Norcasia,Italia,1
2024,4,Valle del Cauca,Cartago,Alemania,3
2024,4,Norte de Santander,Cucutilla,China,1
2024,4,Cauca,Piendamó,Ecuador,4
2024,4,Risaralda,Pereira,Bélgica,5
2024,4,Caldas,Manizales,Indonesia,2
2024,4,Cauca,Caloto,Ecuador,1
2024,4,Risaralda,Balboa,Chile,3
2024,4,Valle del Cauca,Cali,Uruguay,35
2024,4,Antioquia,Campamento,Terr. Australes Franceses,1
2024,4,Huila,Campoalegre,Honduras,2
2024,4,Putumayo,Mocoa,Ecuador,27
2024,4,Cundinamarca,Cota,Italia,1
2024,4,Antioquia,Remedios,México,2
2024,4,La Guajira,Hatonuevo,Venezuela,1
2024,4,Meta,San Martín,Estados Unidos,1
2024,4,Antioquia,Arboletes,España,1
2024,4,Huila,Yaguará,Estados Unidos,1
2024,4,Valle del Cauca,Guadalajara de Buga,Bolivia,1
2024,4,Antioquia,Pueblorrico,Estados Unidos,4
2024,4,Antioquia,San Rafael,Chile,1
2024,4,Córdoba,Montería,Aruba,1
2024,4,Boyacá,Tunja,Ecuador,8
2024,4,Antioquia,Buriticá,Guatemala,3
2024,4,Magdalena,Algarrobo,Lituania,1
2024,4,Sucre,San Onofre,Estados Unidos,4
2024,4,Chocó,Bagadó,Argentina,1
2024,4,Antioquia,El Bagre,Estados Unidos,3
2024,4,Amazonas,Leticia,Singapur,1
2024,4,Antioquia,Santa Bárbara,México,1
2024,4,Cesar,Aguachica,Venezuela,5
2024,4,Cundinamarca,La Mesa,Reino Unido,2
2024,4,Caldas,Villamaría,México,6
2024,4,Cundinamarca,Cajicá,Aruba,5
2024,4,Huila,Pitalito,Ecuador,39
2024,4,Santander,Bucaramanga,Austria,3
2024,4,Antioquia,Itagui,Argentina,1
2024,4,Casanare,Yopal,Paraguay,1
2024,4,Norte de Santander,Cúcuta,Chile,405
2024,4,Santander,Floridablanca,Estados Unidos,55
2024,4,Antioquia,Rionegro,Líbano,1
2024,4,Quindío,Armenia,Filipinas,2
2024,4,Valle del Cauca,Yumbo,Chile,4
2024,4,Santander,Bucaramanga,India,5
2024,4,Vaupés,Mitú,Estados Unidos,3
2024,4,Valle del Cauca,Cali,Hong Kong,24
2024,4,Atlántico,Barranquilla,Bermudas,1
2024,4,Antioquia,Argelia,Guatemala,1
2024,4,Antioquia,Amagá,Venezuela,1
2024,4,Atlántico,Barranquilla,Taiwán,1
2024,4,Tolima,Melgar,Canadá,1
2024,4,Bolívar,Cartagena,Islandia,3
2024,4,Bolívar,Achí,Curazao,1
2024,4,Valle del Cauca,Bugalagrande,Países Bajos,2
2024,4,Cundinamarca,La Calera,Portugal,1
2024,4,Norte de Santander,Cúcuta,Países Bajos,6
2024,4,Antioquia,Itagui,Ucrania,1
2024,4,Atlántico,Barranquilla,Australia,11
2024,4,Córdoba,Tierralta,Rusia,1
2024,4,Valle del Cauca,Cali,Chipre,2
