id,edad_cliente,genero_cliente,ingresos,puntos,tiempo_membresia,num_compras,categoria_preferida,ultima_compra
1,38,Femenino,99917,100,4,50,Alimentos,"225,62"
2,21,Femenino,44040,43,1,18,Deportes,"303,52"
3,60,Femenino,139129,100,4,50,Ropa,"450,39"
4,40,Femenino,109840,97,8,50,Hogar,"608,24"
5,65,Femenino,119441,100,6,50,Electrónica,"854,47"
6,31,Femenino,69180,97,3,50,Hogar,"283,19"
7,19,Femenino,48451,56,4,35,Ropa,"238,10"
8,43,Masculino,105954,100,7,50,Alimentos,"285,15"
9,53,Masculino,125149,100,7,50,Deportes,"339,31"
10,55,Femenino,118823,100,8,50,Electrónica,"854,55"
11,23,Femenino,67215,100,3,49,Ropa,"278,35"
12,68,Femenino,146175,100,6,50,Alimentos,"355,99"
13,29,Femenino,76394,95,2,50,Hogar,"359,98"
14,64,Femenino,146320,100,4,50,Deportes,"538,98"
15,33,Masculino,91508,100,3,50,Hogar,"369,84"
16,53,Masculino,117566,100,5,50,Ropa,"382,01"
17,57,Masculino,133819,100,6,50,Ropa,"544,23"
18,22,Masculino,49245,58,1,24,Deportes,"302,98"
19,37,Masculino,104406,100,5,50,Hogar,"386,12"
20,31,Masculino,81951,83,4,50,Alimentos,"165,48"
21,19,Femenino,45636,48,3,28,Hogar,"328,33"
22,22,Masculino,51747,100,7,43,Hogar,"349,53"
23,36,Femenino,103778,100,3,50,Deportes,"212,13"
24,41,Femenino,102009,100,7,50,Ropa,"264,90"
25,69,Femenino,135945,100,4,50,Deportes,"331,56"
26,33,Femenino,82631,100,7,50,Alimentos,"129,21"
27,54,Masculino,131466,100,5,50,Alimentos,"247,95"
28,30,Femenino,81664,92,5,50,Deportes,"318,87"
29,18,Femenino,47890,67,4,35,Hogar,"297,20"
30,23,Masculino,64677,100,4,50,Electrónica,"617,74"
31,36,Femenino,112050,100,8,50,Ropa,"321,08"
32,60,Femenino,128717,100,5,50,Electrónica,"734,15"
33,29,Masculino,72690,92,4,50,Electrónica,"664,18"
34,44,Femenino,101851,100,5,50,Alimentos,"264,15"
35,45,Femenino,116544,100,7,50,Deportes,"326,77"
36,30,Femenino,88536,100,2,50,Ropa,"302,12"
37,47,Masculino,114974,100,6,50,Electrónica,"897,67"
38,48,Femenino,108614,100,6,50,Electrónica,"727,37"
39,31,Femenino,73480,98,5,50,Deportes,"206,43"
40,22,Masculino,63730,100,4,50,Hogar,"289,57"
41,23,Masculino,67489,100,1,50,Hogar,"287,14"
42,52,Masculino,128763,100,5,50,Ropa,"406,00"
43,35,Masculino,86010,99,6,50,Hogar,"372,59"
44,28,Femenino,75264,99,4,50,Hogar,"228,16"
45,50,Masculino,121925,100,4,50,Hogar,"372,91"
46,49,Femenino,119768,100,4,50,Ropa,"374,71"
47,56,Masculino,137118,100,6,50,Electrónica,"784,90"
48,48,Masculino,119687,100,8,50,Electrónica,"735,34"
49,19,Femenino,53410,80,2,35,Deportes,"209,78"
50,68,Femenino,139783,100,6,50,Alimentos,"327,09"
51,61,Femenino,136002,100,7,50,Ropa,"516,07"
52,24,Femenino,67857,90,3,49,Deportes,"217,62"
53,45,Femenino,97886,100,8,50,Alimentos,"271,00"
54,33,Femenino,82923,100,9,50,Hogar,"359,52"
55,56,Femenino,123542,97,3,50,Deportes,"394,19"
56,42,Femenino,99625,97,6,50,Deportes,"353,50"
57,63,Femenino,132824,100,9,50,Electrónica,"876,85"
58,49,Femenino,131254,100,6,50,Deportes,"452,45"
59,43,Femenino,99508,100,6,50,Electrónica,"748,14"
60,21,Femenino,62115,95,4,47,Ropa,"250,00"
61,23,Masculino,45654,74,4,28,Alimentos,"161,85"
62,30,Femenino,75361,100,9,50,Ropa,"403,88"
63,49,Femenino,119265,100,7,50,Deportes,"338,32"
64,50,Femenino,124651,100,5,50,Electrónica,"712,80"
65,27,Femenino,76901,94,1,50,Deportes,"235,80"
66,32,Masculino,92015,100,3,50,Hogar,"388,15"
67,36,Femenino,89636,100,3,50,Electrónica,"595,73"
68,43,Femenino,103139,100,8,50,Ropa,"380,34"
69,32,Masculino,92597,100,6,50,Electrónica,"683,89"
70,49,Femenino,116078,100,8,50,Deportes,"231,31"
71,23,Femenino,47819,53,1,22,Electrónica,"602,48"
72,58,Femenino,119975,100,4,50,Alimentos,"244,64"
73,31,Femenino,72625,84,2,50,Alimentos,"111,70"
74,38,Femenino,101649,100,4,50,Hogar,"491,14"
75,58,Femenino,131457,100,7,50,Alimentos,"227,89"
76,60,Femenino,138589,100,8,50,Hogar,"462,25"
77,49,Masculino,115455,100,5,50,Alimentos,"72,04"
78,32,Femenino,84802,98,9,50,Ropa,"318,25"
79,30,Otro,84005,87,2,50,Alimentos,"122,32"
80,68,Otro,136391,100,8,50,Electrónica,"779,04"
81,65,Otro,141111,100,9,50,Electrónica,"913,52"
82,36,Femenino,86818,88,2,50,Alimentos,"216,95"
83,36,Femenino,89508,100,7,50,Deportes,"318,56"
84,56,Masculino,125839,100,8,50,Electrónica,"763,67"
85,19,Masculino,38037,41,2,22,Ropa,"326,40"
86,31,Otro,85283,100,4,50,Hogar,"351,67"
87,59,Masculino,128575,99,7,50,Hogar,"428,85"
88,31,Masculino,82512,93,3,50,Deportes,"136,32"
89,18,Otro,48502,79,5,35,Ropa,"239,59"
90,45,Otro,115019,100,4,50,Hogar,"476,68"
91,32,Otro,89363,100,1,50,Hogar,"492,13"
92,39,Otro,98414,99,5,50,Hogar,"398,63"
93,65,Masculino,134690,100,9,50,Electrónica,"767,12"
94,46,Otro,112058,100,8,50,Ropa,"323,86"
95,30,Otro,63189,100,6,50,Deportes,"279,09"
96,23,Masculino,47776,99,8,49,Ropa,"133,23"
97,63,Otro,123396,100,10,50,Electrónica,"842,32"
98,49,Masculino,110325,100,8,50,Ropa,"459,92"
99,21,Otro,56998,91,3,34,Deportes,"274,25"
100,26,Femenino,59626,100,4,50,Ropa,"226,59"
101,40,Femenino,97972,96,5,50,Alimentos,"252,81"
102,18,Masculino,57368,89,5,44,Alimentos,"146,56"
103,19,Masculino,45594,80,5,32,Ropa,"218,09"
104,60,Femenino,139013,100,5,50,Deportes,"540,51"
105,20,Otro,41972,36,1,18,Ropa,"241,32"
106,55,Femenino,124651,100,8,50,Electrónica,"841,09"
107,19,Otro,38750,56,2,23,Deportes,"53,96"
108,65,Masculino,135449,100,8,50,Hogar,"601,85"
109,57,Femenino,136563,100,9,50,Electrónica,"927,96"
110,56,Femenino,112229,100,8,50,Hogar,"459,30"
111,37,Masculino,100410,100,6,50,Deportes,"368,19"
112,64,Masculino,139815,100,7,50,Ropa,"501,99"
113,58,Masculino,126328,100,6,50,Alimentos,"245,79"
114,32,Masculino,71860,100,4,50,Deportes,"279,39"
115,64,Masculino,138324,100,7,50,Electrónica,"752,74"
116,59,Masculino,128035,100,7,50,Hogar,"442,23"
117,62,Masculino,137969,100,7,50,Electrónica,"887,38"
118,62,Masculino,136072,100,8,50,Hogar,"582,21"
119,33,Masculino,101716,100,6,50,Alimentos,"182,73"
